algo,iter,bitstring_size,val,time
mimic,29,80,80.0,2.570119246
mimic,30,80,80.0,2.584731088
rhc,1,100,100.0,0.034476314
rhc,2,100,100.0,0.03213182
rhc,3,100,100.0,0.033901798
rhc,4,100,100.0,0.035116294
rhc,5,100,100.0,0.046042544
rhc,6,100,100.0,0.047521139
rhc,7,100,100.0,0.048054814
rhc,8,100,100.0,0.046220145
rhc,9,100,100.0,0.041330134
rhc,10,100,100.0,0.043088987
rhc,11,100,100.0,0.041996849
rhc,12,100,100.0,0.046675293
rhc,13,100,100.0,0.042413752
rhc,14,100,100.0,0.045935187
rhc,15,100,100.0,0.041821464
rhc,16,100,100.0,0.043718694
rhc,17,100,100.0,0.047763261
rhc,18,100,100.0,0.043473642
rhc,19,100,100.0,0.042850205
rhc,20,100,100.0,0.042716547
rhc,21,100,100.0,0.041728617
rhc,22,100,100.0,0.04540385
rhc,23,100,100.0,0.044228063
rhc,24,100,100.0,0.040280856
rhc,25,100,100.0,0.046983552
rhc,26,100,100.0,0.045920353
rhc,27,100,100.0,0.045152561
rhc,28,100,100.0,0.041828958
rhc,29,100,100.0,0.04409299
rhc,30,100,100.0,0.039419809
sa,1,100,100.0,0.137286602
sa,2,100,100.0,0.140396347
sa,3,100,100.0,0.147464823
sa,4,100,100.0,0.153243305
sa,5,100,100.0,0.137619383
sa,6,100,100.0,0.135731298
sa,7,100,100.0,0.146692818
sa,8,100,100.0,0.140637505
sa,9,100,100.0,0.150718768
sa,10,100,100.0,0.136386533
sa,11,100,100.0,0.143211009
sa,12,100,100.0,0.150199944
sa,13,100,100.0,0.151942419
sa,14,100,100.0,0.139587876
sa,15,100,100.0,0.14176524
sa,16,100,100.0,0.146175042
sa,17,100,100.0,0.138597209
sa,18,100,100.0,0.142605854
sa,19,100,100.0,0.138879729
sa,20,100,100.0,0.142115363
sa,21,100,100.0,0.140961984
sa,22,100,100.0,0.13683381
sa,23,100,100.0,0.13944029
sa,24,100,100.0,0.146991574
sa,25,100,100.0,0.140289406
sa,26,100,100.0,0.137330594
sa,27,100,100.0,0.137605411
sa,28,100,100.0,0.146010999
sa,29,100,100.0,0.148910905
sa,30,100,100.0,0.1457971
ga,1,100,15.0,0.074667304
ga,2,100,28.0,0.076151894
ga,3,100,26.0,0.077099265
ga,4,100,20.0,0.076421718
ga,5,100,35.0,0.092678378
ga,6,100,24.0,0.080323641
ga,7,100,33.0,0.079950815
ga,8,100,26.0,0.076395119
ga,9,100,31.0,0.074045988
ga,10,100,29.0,0.080497128
ga,11,100,17.0,0.077785506
ga,12,100,25.0,0.078713659
ga,13,100,27.0,0.077456359
ga,14,100,40.0,0.083175716
ga,15,100,25.0,0.083089569
ga,16,100,36.0,0.080193151
ga,17,100,23.0,0.07785371
ga,18,100,30.0,0.078521539
ga,19,100,25.0,0.086685269
ga,20,100,31.0,0.080006294
ga,21,100,25.0,0.078221196
ga,22,100,22.0,0.079363972
ga,23,100,36.0,0.077979229
ga,24,100,27.0,0.081443198
ga,25,100,17.0,0.084448626
ga,26,100,21.0,0.074782078
ga,27,100,24.0,0.077162971
ga,28,100,24.0,0.073946657
ga,29,100,20.0,0.079426435
ga,30,100,38.0,0.076227079
mimic,1,100,100.0,3.6037775
mimic,2,100,100.0,3.682756063
mimic,3,100,100.0,3.739503084
mimic,4,100,100.0,3.76680577
mimic,5,100,100.0,3.766808576
mimic,6,100,100.0,3.734990184
mimic,7,100,100.0,3.637878519
mimic,8,100,100.0,3.7943216
mimic,9,100,100.0,3.582139806
mimic,10,100,100.0,3.61367658
mimic,11,100,100.0,3.615827345
mimic,12,100,100.0,3.606838042
mimic,13,100,100.0,3.630739996
mimic,14,100,100.0,3.718121662
mimic,15,100,100.0,3.874271571
mimic,16,100,100.0,3.83913789
mimic,17,100,100.0,3.924049403
mimic,18,100,100.0,3.945844738
mimic,19,100,100.0,3.67007277
mimic,20,100,100.0,3.594947616
mimic,21,100,100.0,3.62846779
mimic,22,100,100.0,4.031716923
mimic,23,100,100.0,4.228865115
mimic,24,100,100.0,3.991862055
mimic,25,100,100.0,3.847786064
mimic,26,100,100.0,3.809640837
mimic,27,100,100.0,3.777855912
mimic,28,100,100.0,3.861909404
mimic,29,100,100.0,3.842439917
mimic,30,100,100.0,3.919845038
